row,section,order,expected_title,url,observed_page_title,status,note,score
97,2014,96,Diversity and evolution of centromere repeats in the maize genome,http://rilab.ucdavis.edu/pdfs/Bilinski2014.pdf,,uncertain,no_title:200,
98,2014,97,The pattern and distribution of deleterious mutations in maize,http://www.g3journal.org/content/4/1/163.full,,uncertain,blocked:403,
99,2014,98,,,,skip,section_header,
100,2013,99,Comprehensive analysis of imprinted genes in maize reveals allelic variation and limited conservation with other species,http://www.pnas.org/content/110/48/19639.abstract,,uncertain,blocked:403,
101,2013,100,Complex patterns of local adaptation in teosinte,http://gbe.oxfordjournals.org/content/5/9/1594,,uncertain,blocked:403,
102,2013,101,"From many, one: genetic control of prolificacy during maize domestication",http://www.plosgenetics.org/article/info%3Adoi%2F10.1371%2Fjournal.pgen.1003604,PLOS Genetics,mismatch,ok:200,0.238
103,2013,102,Agriculture: Feeding the future,http://rilab.ucdavis.edu/pdfs/McCouch2013.pdf,,uncertain,no_title:200,
104,2013,103,The genomic signature of crop-wild introgression in maize,http://www.plosgenetics.org/article/info%3Adoi%2F10.1371%2Fjournal.pgen.1003477,PLOS Genetics,mismatch,ok:200,0.200
105,2013,104,"Population genetics and ethnobotany of cultivated *Diospyros riojae* (Ebenaceae), an endangered fruit crop from Mexico",http://rilab.ucdavis.edu/pdfs/provance2013.pdf,,uncertain,no_title:200,
106,2013,105,Comparative analysis of tandem repeats from hundreds of species reveals unique insights into centromere evolution,https://genomebiology.biomedcentral.com/articles/10.1186/gb-2013-14-1-r10,Comparative analysis of tandem repeats from hundreds of species reveals unique insights into centromere evolution,match,ok:200,1.000
107,2013,106,Diversity and abundance of the Abnormal chromosome 10 meiotic drive complex in *Zea *mays*,https://www.nature.com/articles/hdy20132,Diversity and abundance of the abnormal chromosome 10 meiotic drive complex in Zea mays,match,ok:200,1.000
108,2013,107,,,,skip,section_header,
109,2012,108,Teosinte as a model system for population and ecological genomics,http://rilab.ucdavis.edu/pdfs/hufford2012.pdf,,uncertain,no_title:200,
110,2012,109,Comparative population genomics of maize domestication and improvement,http://media.wix.com/ugd/fe9228_24240aa930bf4728be83b4b57da55f17.pdf,,uncertain,no_title:200,
111,2012,110,Using nextgen sequencing to investigate genome size variation and transposable element content,http://rilab.ucdavis.edu/pdfs/Munoz_Diez_R1-1.pdf,,uncertain,no_title:200,
112,2012,111,Historical genomics of North American maize,http://rilab.ucdavis.edu/pdfs/vanheerwaarden2012.pdf,,uncertain,no_title:200,
113,2012,112,Reshaping of the maize transcriptome by domestication,http://rilab.ucdavis.edu/pdfs/swansonwagner2012.pdf,,uncertain,no_title:200,
114,2012,113,Maize HapMap2 identifies extant variation from a genome in flux,http://media.wix.com/ugd/fe9228_86a609db506740ce96c549567c246b4c.pdf,,uncertain,no_title:200,
115,2012,114,Megabase-scale inversion polymorphism in the wild ancestor of maize,http://www.genetics.org/content/191/3/883.abstract,,uncertain,blocked:403,
116,2012,115,Genetic architecture of maize kernel composition in the Nested Association Mapping and Inbred Association panels,http://media.wix.com/ugd/fe9228_5ca9c5a7f6174a5bb0c85e67dec67dcc.pdf,,uncertain,no_title:200,
117,2012,116,Crop genomics: advances and applications,http://media.wix.com/ugd/fe9228_a2a75f7435ec4c569d4a6996e8b5451e.pdf,,uncertain,no_title:200,
118,2012,117,,,,skip,section_header,
119,2011,118,Identification of a functional transposon insertion in the maize domestication gene *tb1*,http://media.wix.com/ugd/fe9228_14630f30e97f4e04b8b5980632002f7a.pdf,,uncertain,no_title:200,
120,2011,119,"Genetic signals of origin, spread and introgression in a large sample of maize landraces",http://media.wix.com/ugd/fe9228_4916e7f7acec4aee869da040d519e0be.pdf,,uncertain,no_title:200,
121,2011,120,Influence of cryptic population structure on observed mating patterns in the wild progenitor of maize,http://rilab.ucdavis.edu/pdfs/hufford2011.pdf,,uncertain,no_title:200,
122,2011,121,Genome size and TE content as determined by high-throughput sequencing in maize and *Zea luxurians*,https://www.ncbi.nlm.nih.gov/pubmed/21296765,403,mismatch,ok:403,0.000
123,2011,122,,,,skip,section_header,
124,2010,123,Patterns of population structure and environmental associations to aridity across the range of loblolly pine (*Pinus taeda*),http://www.genetics.org/content/185/3/969.abstract,,uncertain,blocked:403,
125,2010,124,Reproductive biology of **Macleania rupestris** (Ericaceae): a pollen-limited Neotropical cloud-forest species in Costa Rica,http://rilab.ucdavis.edu/pdfs/Fuchs-et-al-2010.pdf,,uncertain,no_title:200,
126,2010,125,A role for nonadaptive processes in plant genome size evolution?,http://rilab.ucdavis.edu/pdfs/Whitney-et-al-2010-402.pdf,,uncertain,no_title:200,
127,2010,126,Fine scale genetic structure in the wild ancestor of maize (**Zea *mays** ssp. **parviglumis**),http://rilab.ucdavis.edu/pdfs/Van-Heerwaarden-et-al-2010-951.pdf,,uncertain,no_title:200,
128,2010,127,Widespread gene conversion in centromere cores,http://www.plosbiology.org/article/info%3Adoi%2F10.1371%2Fjournal.pbio.1000327,PLOS Biology,mismatch,ok:200,0.172
129,2010,128,Indel-associated mutation rate varies with mating system in flowering plants,http://mbe.oxfordjournals.org/content/27/2/409.abstract,,uncertain,blocked:403,
130,2010,129,Genetic diversity in a crop metapopulation,https://pubmed.ncbi.nlm.nih.gov/19738636/,403,mismatch,ok:403,0.000
131,2010,130,,,,skip,section_header,
132,2009,131,A first-generation haplotype map of maize,http://media.wix.com/ugd/fe9228_352f4ee9b69a425589e55a4bac60bc5d.pdf,,uncertain,no_title:200,
133,2009,132,A pleistocene clone of Palmer's Oak persisting in Southern California,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0008346,A Pleistocene Clone of Palmer's Oak Persisting in Southern California,match,ok:200,1.000
134,2009,133,Selection on grain shattering genes and rates of rice domestication,http://onlinelibrary.wiley.com/doi/10.1111/j.1469-8137.2009.02984.x/epdf,,uncertain,blocked:403,
135,2009,134,Historical divergence and gene flow in the genus Zea,http://www.genetics.org/content/181/4/1399.abstract,,uncertain,blocked:403,
136,2008,135,Patterns of polymorphism and demographic history in natural populations of *Arabidopsis lyrata*,http://dx.doi.org/10.1371%2Fjournal.pone.0002411,Patterns of Polymorphism and Demographic History in Natural Populations of Arabidopsis lyrata,match,ok:200,1.000
137,2008,136,Demography and weak selection drive patterns of TE diversity in natural populations of *A. lyrata*,http://www.pnas.org/content/105/37/13965.short,,uncertain,blocked:403,
138,2008,137,Multiple domestications do not appear monophyletic,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2614810/,403,mismatch,ok:403,0.000
139,2008,138,Selection on major components of angiosperm genomes,http://rilab.ucdavis.edu/pdfs/Ross-Ibarra_Gaut_2008.pdf,,uncertain,no_title:200,
140,2007,139,"Plant domestication, a unique opportunity to identify the genetic basis of adaptation",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1876441/,403,mismatch,ok:403,0.000
141,2007,140,Genome size and recombination in angiosperms: a second look,http://onlinelibrary.wiley.com/doi/10.1111/j.1420-9101.2006.01275.x/abstract,,uncertain,blocked:403,
142,2001-2006,141,Mitochondrial DNA and population size,http://rilab.ucdavis.edu/pdfs/Wares-et-al-2006.pdf,,uncertain,no_title:200,
143,2001-2006,142,Quantitative trait loci and the study of plant domestication,http://rilab.ucdavis.edu/pdfs/Ross-Ibarra-2005-15881692.pdf,,uncertain,no_title:200,
144,2001-2006,143,The evolution of recombination under domestication: a test of two hypotheses,http://rilab.ucdavis.edu/pdfs/Ross-Ibarra-2004.pdf,,uncertain,no_title:200,
145,2001-2006,144,Origen y domesticación de la chaya (*Cnidoscolus aconitifolius* Mill IM Johnst): La espinaca Maya,http://rilab.ucdavis.edu/pdfs/Ross-Ibarra-2003.pdf,,uncertain,no_title:200,
146,2001-2006,145,The ethnobotany of Chaya (*Cnidoscolus aconitifolius* ssp. *aconitifolius* Breckon): A nutritious Maya vegetable,http://rilab.ucdavis.edu/pdfs/Ross-Ibarra_Molina-Cruz-2002.pdf,,uncertain,no_title:200,
147,2001-2006,146,Implications of mating patterns for conservation of the endangered plant *Eriogonum ovalifolium* var. *vineum*,https://pubmed.ncbi.nlm.nih.gov/11454621/,403,mismatch,ok:403,0.000
